Method,n,k,elapsed
BruteForce,65536,256,538384875
Heap,65536,256,22937416
BST,65536,256,30421083
Linear,65536,256,20448625
BruteForce,65536,512,1060158541
Heap,65536,512,21826333
BST,65536,512,31534541
Linear,65536,512,20453583
BruteForce,65536,1024,2092208916
Heap,65536,1024,21341875
BST,65536,1024,33075750
Linear,65536,1024,20395000
BruteForce,131072,8,51850041
Heap,131072,8,147334916
BST,131072,8,46007541
Linear,131072,8,39006416
BruteForce,131072,16,86312791
Heap,131072,16,121147791
BST,131072,16,48992083
Linear,131072,16,39849666
BruteForce,131072,32,153736791
Heap,131072,32,80715958
BST,131072,32,51660375
Linear,131072,32,40457583
BruteForce,131072,64,287064166
Heap,131072,64,61586666
BST,131072,64,54547125
Linear,131072,64,40719916
BruteForce,131072,128,550894083
Heap,131072,128,51918125
BST,131072,128,57489375
Linear,131072,128,40884875
BruteForce,131072,256,1078504333
Heap,131072,256,45964583
BST,131072,256,60908958
Linear,131072,256,40917791
BruteForce,131072,512,2128304500
Heap,131072,512,43988416
BST,131072,512,64553416
Linear,131072,512,40927333
BruteForce,131072,1024,4209640833
Heap,131072,1024,43061291
BST,131072,1024,67678333
Linear,131072,1024,40933125
