Method,n,k,elapsed
BruteForce,65536,1024,158223208
Heap,65536,1024,1065833
BST,65536,1024,10567500
Linear,65536,1024,903750
BruteForce,131072,8,582583
Heap,131072,8,9145416
BST,131072,8,10681416
Linear,131072,8,1795208
BruteForce,131072,16,1495875
Heap,131072,16,6956791
BST,131072,16,12925375
Linear,131072,16,1864291
BruteForce,131072,32,4384708
Heap,131072,32,4906041
BST,131072,32,14518416
Linear,131072,32,1865250
BruteForce,131072,64,12233958
Heap,131072,64,3866750
BST,131072,64,15876208
Linear,131072,64,1820041
BruteForce,131072,128,33279166
Heap,131072,128,2873583
BST,131072,128,16990625
Linear,131072,128,1821541
BruteForce,131072,256,74345000
Heap,131072,256,2584583
BST,131072,256,18109375
Linear,131072,256,1811250
BruteForce,131072,512,156207000
Heap,131072,512,2356375
BST,131072,512,19352416
Linear,131072,512,1815125
BruteForce,131072,1024,318904916
Heap,131072,1024,2279166
BST,131072,1024,20817333
Linear,131072,1024,1802458
